Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.727,1.818,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.909,2.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.727,1.818,Hai phương pháp gần nhau.
cross-doc,Latency (s),1.621,1.635,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,600.455,472.727,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,2.0,1.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Faithfulness,2.0,1.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Multi-hop reasoning,2.0,1.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Latency (s),1.245,0.873,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,572.5,452.5,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.917,1.833,Hai phương pháp gần nhau.
multi-hop,Faithfulness,2.25,1.917,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.917,1.833,Hai phương pháp gần nhau.
multi-hop,Latency (s),2.391,2.493,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,682.5,665.333,GraphRAG không đắt hơn trong sample này.
